gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0022084,2016,WR,0.7584615384615384,0.7325227963525835,36,0,0,0,1,0.9363636363636364,0.8264840182648402
00-0022120,2015,LB,0.6593264248704663,0.5493506493506494,35,0,0,0,0,,
00-0022127,2015,TE,0.9244186046511628,0.8812154696132597,33,0,0,0,0,1.0,1.0
00-0022127,2016,TE,0.8812154696132597,0.9022988505747126,34,0,0,0,0,1.0,1.0
00-0022127,2017,TE,0.9022988505747126,0.9005376344086021,35,0,0,0,0,1.0,1.0
00-0022127,2020,TE,0.8915343915343915,0.3360655737704918,38,0,0,0,1,0.9029850746268657,0.32517482517482516
00-0022161,2017,LB,0.9038929440389294,0.9987244897959183,35,0,0,0,0,0.6067796610169491,0.7166666666666667
00-0022161,2018,LB,0.9987244897959183,0.8935064935064935,36,0,0,0,0,0.7166666666666667,0.5927272727272728
00-0022161,2019,LB,0.8935064935064935,0.1909814323607427,37,0,0,0,1,0.5927272727272728,0.3873239436619718
00-0022247,2015,DB,0.9346642468239564,0.9398148148148148,34,0,0,0,0,,
00-0022247,2016,DB,0.9398148148148148,0.8104395604395604,35,0,0,0,0,,
00-0022247,2017,DB,0.8104395604395604,0.9016697588126159,36,0,0,0,1,,
00-0022247,2018,DB,0.9016697588126159,0.7260397830018083,37,0,0,0,0,,
00-0022247,2019,DB,0.7260397830018083,0.22876949740034663,38,0,0,0,1,,
00-0022414,2015,WR,0.7635542168674698,0.5769230769230769,34,0,0,0,0,,
00-0022427,2015,WR,0.5753012048192772,0.11538461538461539,34,0,0,0,1,,
00-0022712,2015,DL,0.6899383983572895,0.04081632653061224,34,0,0,0,1,,
00-0022712,2016,DL,0.04081632653061224,0.2802874743326489,35,0,0,0,1,,
00-0022736,2015,RB,0.7919847328244275,0.24912280701754386,32,0,0,0,1,0.4941860465116279,0.15363128491620112
00-0022750,2015,DL,0.8809034907597536,0.37142857142857144,34,0,0,0,0,,
00-0022793,2015,DL,0.5944558521560575,0.5448979591836735,34,0,0,0,1,,
00-0022793,2016,DL,0.5448979591836735,0.17659137577002054,35,0,0,0,1,,
00-0022803,2015,QB,0.7912621359223301,0.8106796116504854,34,0,0,0,0,0.8552631578947368,0.88
00-0022803,2016,QB,0.8106796116504854,0.5918367346938775,35,0,0,0,0,0.88,0.9794520547945206
